territory,week,pipeline_created_usd,stage_2_plus_usd,closed_won_usd,forecast_commit_usd,deal_velocity_days,forecast_risk_pct
Central Commercial,2026-W12,1405715,10627811,163537,1455480,71,29
Central Commercial,2026-W13,1477447,5923564,99388,2178429,73,26
Central Commercial,2026-W14,832358,11272066,111423,2618790,59,18
Central Commercial,2026-W15,1018276,6355160,153660,2503983,75,22
Central Commercial,2026-W16,1471401,6387354,180286,1582748,72,34
Healthcare and Public,2026-W01,906532,4706827,97570,1573126,128,24
Healthcare and Public,2026-W02,867909,6210875,104256,1701225,59,30
Healthcare and Public,2026-W03,362462,3579796,113071,2149812,69,33
Healthcare and Public,2026-W04,622586,6371898,68484,1738182,87,23
Healthcare and Public,2026-W05,916099,4424947,102711,1468470,80,36
Healthcare and Public,2026-W06,331965,4400105,134517,1836358,72,12
Healthcare and Public,2026-W07,831533,7131150,59845,1535146,140,14
Healthcare and Public,2026-W08,509943,7150439,148991,1759639,69,20
Healthcare and Public,2026-W09,809206,3909668,96723,2958872,92,35
Healthcare and Public,2026-W10,545054,6950726,134357,2417207,79,12
Healthcare and Public,2026-W11,389236,6384865,151487,2755037,71,22
Healthcare and Public,2026-W12,868444,5274931,112580,2053145,136,21
Healthcare and Public,2026-W13,787175,5860934,140267,2816554,74,24
Healthcare and Public,2026-W14,874088,3591210,97714,1375440,91,29
Healthcare and Public,2026-W15,501068,6285396,122856,2622290,131,32
Healthcare and Public,2026-W16,655390,7530082,122094,1880584,124,31
Expansion Portfolio,2026-W01,1143836,13530729,118431,3966226,129,37
Expansion Portfolio,2026-W02,2012168,7308369,148749,2263691,118,36
Expansion Portfolio,2026-W03,1346819,8417649,161418,2672302,100,17
Expansion Portfolio,2026-W04,744323,8991143,148740,2878579,88,11
Expansion Portfolio,2026-W05,1297130,14781405,125846,4010047,115,19
Expansion Portfolio,2026-W06,836772,11740049,149919,2128198,110,10
Expansion Portfolio,2026-W07,1429720,6763961,83955,3380091,137,29
Expansion Portfolio,2026-W08,1088181,11849782,97554,3548000,101,20
Expansion Portfolio,2026-W09,1792420,14934804,172311,2700604,137,28
Expansion Portfolio,2026-W10,1316117,13339290,157253,2156602,142,16
Expansion Portfolio,2026-W11,679198,10316546,147607,3868582,128,25
Expansion Portfolio,2026-W12,1181895,7826351,178475,3101086,110,12
Expansion Portfolio,2026-W13,1020140,8723074,87456,3999077,85,23
Expansion Portfolio,2026-W14,1791397,8669603,112926,3761845,63,38
Expansion Portfolio,2026-W15,1532654,13489158,87746,4097819,116,30
Expansion Portfolio,2026-W16,1473248,11808347,186330,1882827,64,26
